id,title,journal,year,citation,publisher_url,thumbnail_url,skip_thumbnail,figure_num,topic,figure_type,taxa,difficulty,open_source,4DEE_concept,methods_summary,interpretation_notes
FIG-001,Reciprocal facilitation between ants and small mammals,Oecologia,2024,"Canepuccia AD, Hidalgo FJ, Fanjul E, Iribarne OO. Reciprocal facilitation between ants and small mammals in tidal marshes. Oecologia. 2024 Mar;204(3):575-588.",https://link.springer.com/article/10.1007/s00442-024-05513-2,,No,4,Communities: Positive Interactions,Box Plot,Mammals; Insects,3,No,Communities,"Canepuccia conducted a series of factorial experiments to investigate how ant mounds from fire ants (Solenopsis richteri) and cavy (Cavia apera) droppings independently and interactively alter sediment quality and facilitate plant growth in marsh ecosystems. They selected 20 active ant mounds and 20 control plots (without mounds) in the middle of the marsh. Over a period of three weeks, half of the plots (both with and without mounds) received 10 cavy droppings weekly, while the remaining plots served as “no-dropping” control mounds. After three weeks, sediment samples were collected from a depth of 7 cm. In ant mound plots, samples were taken from both the center and the edge of the mound. In the laboratory, these samples were analyzed for water content (% H2O), organic matter (% OM), and three key nutrients: ammonium (NH4+), nitrate (NO3–), and phosphate (PO43–). The data was then analyzed using Two-way ANOVA and Tukey’s HSD tests to identify significant differences in soil chemistry across the treatment combinations, and is shown in Figure 3. Figure 4 presents the growth ratios of cordgrass (Spartina densiflora) plants that were transported in subsequent experiments. The presence of ant mounds and cavy droppings were manipulated as in the previous experiment (Figure 3).","Figure 3 illustrates characteristics of the sediment based on ant mound lcation and cavy dropping presence. The figure compares from three locations: the center of the ant mound, the edge of the ant mound, and the sediment far from the mounds. The lowercase letters (a, b, and a,b) represent statistical groupings that indicate significant differences among the ant mound treatments (Center ant-mound, Next ant-mound, and Sediment). If two bars or boxes have different letters (e.g., one is ""a"" and another is ""b""), it means there is a statistically significant difference between those treatments. If two treatments share the same letter (e.g., both are ""a""), there is no significant difference between them. A treatment labeled with ""a,b"" is statistically similar to both the treatments labeled ""a"" and those labeled ""b."" Greek letters (?,?) are used to indicate statistical differences between the cavy droppings treatments (Droppings vs. No droppings). The labels ""Cavies"" and ""Cavies exclusion"" in Figure 4 represent the experimental manipulation of large herbivore access, however there was no significant effect of cavy presence (herbivory) on the initial growth ratios themselves."
FIG-002,Salamanders regulate top-down effects,Herpetologica,2017,"Hickerson, C. M., Anthony, C. D., & Walton, B. M. (2017). Eastern red-backed salamanders regulate top-down effects in a temperate forest-floor community. Herpetologica, 73(3), 180-189.",https://doi.org/10.1655/HERPETOLOGICA-D-16-00081.1,,Yes,2,Food Webs,Time Series,Amphibians,3,No,Ecosystems,"Over the course of 4 years, Hickerson and researchers conducted a predator removal experiment in a mixed deciduous forest in Ohio. This study utilized an unfenced feild design consisting of 32 plots, each containing 9 artifical cover objects (AOCs). Focal predars were removed by hand during weekly to biweekly visits. Figure 2 specifically compares plots with the most salamanders (CR) and those with the fewest salamanders (SR) and how they regulate the abundance of macrodetritivores on the forest floor. The researchers used ANOVA to compare the mean numbers of invertebrates across treatments. To meet the assumptions of the statistical tests, data were log10(x+1) transformed, and Dunnett T3 post hoc tests were applied to account for unequal variance among groups.","The figure labels the treatments as CR and SR, which represent a gradient of salamander density rather than the complete removal of a single species. CR represents Centipede Removal which resulted in the greatest density if salamanders. SR represents Salamander Removal which maintained the lowest density of salamanders. The ""mean number of"" counts on the y-axis represent the mean number of taxa observed per replicate over a 4 year period on the x-axis."
FIG-003,Spatial heterogeneity of soil biochar content,Sci Total Environ,2016,"Olmo M, Lozano AM, Barrón V, Villar R. Spatial heterogeneity of soil biochar content affects soil quality and wheat growth and yield. Sci Total Environ. 2016 Aug 15;562:690-700.",https://www.sciencedirect.com/science/article/abs/pii/S0048969716307690?via%3Dihub,,Yes,4,Populations: Spatial Ecology,Bar chart,Crop plants,3,No,Populations,"In 2013, researchers applied biochar to experimental field plots at the “Origuero” farm near Córdoba, southern Spain, with the goal of creating an initially uniform biochar distribution across the soil surface. During the first growing season, sunflowers were grown for four months as the first crop in a rotation. At the end of the season, the field was plowed. This disturbance, combined with earlier sunflower sowing, redistributed the biochar unevenly. Wheat was then planted in the plots using a row-seed drill. At 142 days after sowing, wheat was harvested and plant performance was quantified using response variables such as aboveground biomass and grain production. To test whether wheat growth differed across the biochar distribution categories, the researchers used a one-way ANOVA comparing outcomes among BC-content levels.","Before wheat germination, researchers observed strong variation in biochar coverage and therefore classified each plot into a visual biochar distribution (Visual-BC) category ranging from 0 to 4. Category 0 represented a control plot with no biochar, while categories 1–4 represented increasing biochar surface coverage (1 = <20% coverage, 4 = >60% coverage). The letters (A, B, C, D) above the bars indicate the results of the Tukey post-hoc test; bars sharing a letter are not statistically different, while different letters indicate significant shifts between categories. Above each chart, the Spearman correlation coefficient (rs) and its significance level (one asterisk indicates a significance level of P<0.05, two asterisks indicates a significance level of P<0.01, and three asterisks indicates a significance level of P<0.001, representing the highest level of statistical significance in the study) quantify the overall strength of the relationship across all five categories."
FIG-004,Photosynthetic light response curve of cacao,Plants,2025,"de Santana EN, Kuhlcamp KT, Crasque J, Cerri Neto B, Oliveira VS, Dousseau-Arantes S. Photosynthetic Light Response Curve and Photosynthetic Performance of Cacao (Theobroma cacao L.) Genotypes Grown Under Full Sun Field Conditions. Plants (Basel). 2025 Nov 21;14(23):3555.",https://www.mdpi.com/2223-7747/14/23/3555,,No,1,Ecophysiology of Stress,Response Curve,Crop plants,1,Yes,Populations,"Cocoa (Theobroma cacao L.), an understory tree, has traditionally been cultivated in shaded systems. However, full sun cultivation has been expanding due to its higher yield potential, earlier harvests, and improved fruit quality. Moreover, some genotypes of Cocoa have shown better adaptation to high light intensities than others. The response to full sun varies among genotypes, necessitating the selection of more light-tolerant machinery that can withstand high irradiance. Initially, exposure to high irradiance may enhance the photosynthetic rate and productive potential of cacao trees. However, several studies indicate that intense light and elevated temperatures can lead to photoinhibition, reducing the physiological performance of plants. In 2025, researchers in Brazil examined the net photosynthetic rate (Pn) of eleven cacao genotypes grown in full sun. Net photosynthetic response curves as a function of photosynthetically active photon flux density were fitted for the eleven cacao genotypes using a hyperbolic model, providing insights into the varying responses of these genotypes to light intensity.","The paper provides the evolutionary context that Theobroma cacao is naturally an understory tree. This information is vital because it explains why ""full sun"" is considered a stressor in the first place; the study is essentially testing how well a shade-loving species can be ""forced"" into a high-productivity, high-radiation environment."
FIG-005,Optimal patch residence time in egg parasitoids,Oecologia,2004,"Boivin G, Fauvergue X, Wajnberg E. Optimal patch residence time in egg parasitoids: innate versus learned estimate of patch quality. Oecologia. 2004 Mar;138(4):640-7.",https://link.springer.com/article/10.1007/s00442-003-1469-z,,No,1,Animal Behavior,Response Curve,Insects,3,No,Organisms,"The fairyfly wasp (Anaphes victus) is an egg parasitoid of weevils, including the carrot weevil (Listronotus oregonensis), a significant pest of plants in the carrot family. In 2004, scientists at the Plant Research and Innovation Center (CRIV) in Quebec, Canada, observed the patch-leaving behavior of female fairyfly wasps under varying environmental conditions. In the experiment, females were presented with a patch of 16 carrot weevil eggs, and two primary variables were manipulated: patch quality and travel time. Patch quality was controlled by adjusting the initial proportion of hosts already parasitized by another female (0%, 25%, 50%, 75%, or 100%), while travel time was approximated by isolating the females for either a short delay (3 hours) or a long delay (48 hours) between emergence and patch encounter. Each treatment was replicated 15 times, and the researchers used video recordings to measure the total patch residence time, which was defined as the duration from the moment the female entered the patch until she abandoned it for more than 60 seconds. These results were then plotted to illustrate how the wasps adjusted their stay based on the costs and benefits predicted by the Marginal Value Theorem.","The figure requires the interpreter to understand that superparasitism (ovipositing in an already parasitized host) results in a lower fitness gain, which is why the parasitized hosts represent lower patch ""quality"". While this is explained in the paper, it is a specific biological detail not covered in the general animal behavior lecture, or by the figure alone."
FIG-006,Character displacement in flying stag beetles,Evolution,2023,"Zhang SN, Kubota K. Strongly exclusive distribution with putative character displacement in two flying stag beetles. Evolution. 2023 Jan 23;77(1):155-165",https://academic.oup.com/evolut/article/77/1/155/6873765,,Yes,4,Communities: Competition,Box Plot,Insects,3,Yes,Communities,"In 2002, researchers in Japan compared the body length (BL) of male and female P. takakuwai and P. viridicuprus stag beetles, collected from two distinct geographic contexts. The first was a narrow contact area consisting of 28 sites, and the second were broader allopatric regions represented by 26 sites. For each beetle, body length was defined as the linear distance from the anterior margin of the labrum (upper lip) to the end of the elytra (hardened forewing). Because these beetles exhibit sexual dimorphism, the morphological data for males (A) and females (B) were analyzed independently. The researchers employed an Analysis of Variance (ANOVA) followed by post-hoc Tukey’s tests to evaluate significant differences in body size between populations and generate figure 4.","Interpreting the x-axis requires understanding that the ""Allopatric region"" refers to areas where each species lives in isolation, while the ""Contact area"" refers to the narrow parapatric zone where the two species meet and potentially interact. It is also necessary to recognize that stag beetles are sexually dimorphic, meaning males and females naturally have different body sizes; therefore, the data for males (A) and females (B) must be interpreted independently. Finally, the lowercase letters (a, b, c) above the boxes indicate statistically significant differences based on post-hoc Tukey’s tests; populations sharing the same letter are not significantly different from one another, regardless of their species."
FIG-013,Coextistence of two amphibian species is predicted by analysis of isoclines,Oecologia,2015,"Gazzola, A., Van Buskirk, J. Isocline analysis of competition predicts stable coexistence of two amphibians. Oecologia 178, 153–159 (2015). https://doi.org/10.1007/s00442-015-3273-y",https://doi.org/10.1007/s00442-015-3273-y,,No,1,Species Interactions: Mutualism,Dot and Whisker,Amphibians,1,No,Organisms,"Researchers tested the interaction between two anuran (frog & toad) amphibian species, in mesocosms (an experimental system meant to replicate natural conditions, under researcher control) meant to replicate as close as possible conditions seen in nature. Mesocosms included leaf litter, rabbit food, and were seen to support the life of a variety of microorganisms. Tadpoles were then added from five separate rounds of reproduction of each species.","This figure shows the density numbers of two species of amphibians as tadpoles, both individually and alone. The authors did not clarify what the number above each dot on the graph was."
FIG-014,The coexistence of shortgrass species is mediated by inter- and intraspecific competition,Journal of Ecology,2001,"Aguiar, M. R., Lauenroth, W. K., & Peters, D. P. (2001). Intensity of Intra- and Interspecific Competition in Coexisting Shortgrass Species. Journal of Ecology, 89(1), 40–47. http://www.jstor.org/stable/3072116",http://www.jstor.org/stable/3072116,,No,1,Communities:Competition,Bar Chart,Monocots,3,No,Communities,"Researchers used a homogenous and heterogenous quadrats of coexisting shortgrasses to test whether the theory that stable existence between similar species is possible when intraspecific competition is stronger than interspecific. The study was conducted in two separate experiments, with a small homogenous community over three years and a larger heterogenous community over two.","BG and BD are each species of shortgrass, standing for Bouteloua gracilis and Buchloe dactyloides, respectively. +C represents conditions with more competition, and -C conditions with less."
FIG-015,Trophic cascade caused by fishing leads to collapse of a salt-marsh ecosystem,Ecology letters,2012,"Altieri, A. H., Bertness, M. D., Coverdale, T. C., Herrmann, N. C., & Angelini, C. (2012). A trophic cascade triggers collapse of a salt-marsh ecosystem with intensive recreational fishing. Ecology, 93(6), 1402–1410.",http://www.jstor.org/stable/23213769,,Yes,2,Trophic Cascade,Bar Chart,Malacostraca,2,No,Ecosystems,"Researchers surveyed northwestern Atlantic salt marshes at 14 different sites. They used observation (counting anglers), historical records, and experiment, where they used trapping and netting to catch predators and herbivores and examining their numbers. The goal was to find out if increased fishing pressure in the salt marshes was causing a trophic cascade/collapse.",This data was taken from interactions between populations in salt marshes. Examine each figure to interpret the full picture.
FIG-016,Indirect increased predation on native organisms by invasive prey,Ecology,2015,"Castorani, M. C. N., & Hovel, K. A. (2015). Invasive prey indirectly increase predation on their native competitors. Ecology, 96(7), 1911–1922. http://www.jstor.org/stable/43494942",http://www.jstor.org/stable/43494942,,No,4; 5,Communities: Competition (Apparent Competition),Scatter Plot; Bar Chart,Bivalvia,3,No,Communities,"Researchers manipulated density in plotted areas of both native bivalves and a prolific invasive bivalve, Arcuatula. Density treatments were applied randomly to different plots. This was to test how interactions between invasive species and predators affect native densities and recruitment. As well as decreasing each other's densities through competition, it was found that the invasive bivalves indirectly negatively affect native species by increasing predator attraction.","Arcuatula senhousia effects on two native bivalve species, Chione undatella and Laevicardium substratum."
